[rosmaster.master][INFO] 2026-03-11 22:28:30,288: +SERVICE [/camera/depth/image_raw/theora/set_parameters] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:30,288: +PUB [/camera/color/image_raw/theora] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:30,289: +PUB [/camera/depth/image_raw/theora/parameter_descriptions] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:30,289: +SERVICE [/camera/color/image_raw/theora/set_parameters] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:30,290: +PUB [/camera/depth/image_raw/theora/parameter_updates] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:30,290: +PUB [/camera/color/image_raw/theora/parameter_descriptions] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:30,291: +PUB [/camera/color/image_raw/theora/parameter_updates] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:30,292: +PARAM [/camera/depth/image_raw/theora/optimize_for] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,293: +PARAM [/camera/depth/image_raw/theora/target_bitrate] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,294: +PARAM [/camera/depth/image_raw/theora/quality] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,295: +PARAM [/camera/depth/image_raw/theora/keyframe_frequency] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,295: +PARAM [/camera/color/image_raw/theora/optimize_for] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,296: +PARAM [/camera/color/image_raw/theora/target_bitrate] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,296: +PARAM [/camera/color/image_raw/theora/quality] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,297: +PARAM [/camera/color/image_raw/theora/keyframe_frequency] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,298: +PARAM [/camera/color/image_raw/theora/optimize_for] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,298: +PARAM [/camera/color/image_raw/theora/target_bitrate] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,299: +PARAM [/camera/color/image_raw/theora/quality] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,299: +PARAM [/camera/color/image_raw/theora/keyframe_frequency] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,300: +PARAM [/camera/depth/image_raw/theora/optimize_for] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,300: +PUB [/camera/color/camera_info] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:30,301: +PARAM [/camera/depth/image_raw/theora/target_bitrate] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,301: +PARAM [/camera/depth/image_raw/theora/quality] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,302: +PARAM [/camera/depth/image_raw/theora/keyframe_frequency] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,303: +PUB [/camera/depth/camera_info] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:30,304: +PUB [/camera/depth/points] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:55,037: +PUB [/velodyne_points] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:55,044: +CACHEDPARAM [/rosout_disable_topics_generation] by /spawn_model
[rosmaster.master][INFO] 2026-03-11 22:28:55,044: +PARAM [/gazebo/time_step] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:55,046: -SUB [/clock] /spawn_model http://rera:40967/
